subj_idx,flashpres,beeppres,response,rt,stimName,type
2.0,3.0,0.0,1.0,1.87744317400211,F3,u
2.0,2.0,0.0,1.0,0.5766287570004351,F2,u
2.0,2.0,0.0,1.0,0.8061070009971445,F2,u
2.0,2.0,0.0,1.0,0.8602484040020499,F2,u
2.0,2.0,0.0,1.0,0.6748402990015165,F2,u
2.0,2.0,0.0,1.0,0.6928477000001294,F2,u
2.0,3.0,0.0,1.0,1.2199401520010724,F3,u
2.0,3.0,0.0,0.0,0.4108934819996648,F3,u
2.0,2.0,0.0,1.0,0.7929248830005236,F2,u
2.0,3.0,0.0,1.0,0.5066200399996887,F3,u
2.0,2.0,0.0,0.0,1.3391808650012536,F2,u
2.0,3.0,0.0,1.0,2.548225310001726,F3,u
2.0,2.0,0.0,1.0,0.6458734450025077,F2,u
2.0,3.0,0.0,0.0,0.532079447999422,F3,u
2.0,2.0,0.0,1.0,1.6464447369980917,F2,u
2.0,2.0,0.0,1.0,0.6503785549975873,F2,u
2.0,3.0,0.0,1.0,0.6628794210009801,F3,u
2.0,3.0,0.0,0.0,0.6961990169984347,F3,u
2.0,3.0,0.0,1.0,0.47825949800244416,F3,u
2.0,3.0,0.0,1.0,1.3463605659999303,F3,u
2.0,3.0,0.0,1.0,0.42136894700161065,F3,u
2.0,3.0,0.0,1.0,0.4957044090006093,F3,u
2.0,2.0,0.0,0.0,0.6508092160001979,F2,u
2.0,2.0,0.0,1.0,0.5985784379990946,F2,u
2.0,2.0,0.0,1.0,0.6574981650010159,F2,u
2.0,3.0,0.0,1.0,0.752423883001029,F3,u
2.0,2.0,0.0,0.0,2.0857620220012905,F2,u
2.0,2.0,0.0,1.0,0.7135327280011552,F2,u
2.0,3.0,0.0,0.0,0.7430844449991127,F3,u
2.0,2.0,0.0,1.0,0.5895437870021851,F2,u
2.0,3.0,0.0,0.0,0.5998957400006475,F3,u
2.0,2.0,0.0,0.0,0.3997641059977468,F2,u
2.0,3.0,0.0,1.0,0.5821278610019363,F3,u
2.0,2.0,0.0,0.0,1.512676129997999,F2,u
2.0,2.0,0.0,0.0,1.1053600999985065,F2,u
2.0,2.0,0.0,1.0,0.6314807519993337,F2,u
2.0,3.0,0.0,0.0,0.6206653549998009,F3,u
2.0,2.0,0.0,1.0,0.617670684998302,F2,u
2.0,2.0,0.0,1.0,1.396191447001911,F2,u
2.0,3.0,0.0,0.0,0.52459614899999,F3,u
2.0,2.0,0.0,1.0,0.6811030560020299,F2,u
2.0,3.0,0.0,1.0,2.375513970000611,F3,u
2.0,3.0,0.0,0.0,0.456515757003217,F3,u
2.0,3.0,0.0,0.0,0.5236297480005305,F3,u
2.0,3.0,0.0,0.0,0.6487183650024235,F3,u
2.0,2.0,0.0,1.0,0.5849355899990769,F2,u
2.0,2.0,0.0,1.0,0.5066068249980162,F2,u
2.0,2.0,0.0,1.0,0.7134677360008936,F2,u
2.0,2.0,0.0,1.0,0.5838847160011937,F2,u
2.0,3.0,0.0,0.0,3.7127844510032446,F3,u
2.0,3.0,0.0,0.0,0.5354547820024891,F3,u
2.0,3.0,0.0,0.0,0.2996249700008775,F3,u
2.0,3.0,0.0,0.0,0.29962580999927013,F3,u
2.0,3.0,0.0,0.0,0.5407030330025009,F3,u
2.0,3.0,0.0,0.0,0.38094449800337316,F3,u
2.0,2.0,0.0,0.0,1.0994861190010852,F2,u
2.0,2.0,0.0,1.0,1.197909635000542,F2,u
2.0,2.0,0.0,1.0,0.5576239380025072,F2,u
2.0,3.0,0.0,1.0,0.7125330679991748,F3,u
