subj_idx,flashpres,beeppres,response,rt,stimName,type
2.0,0.0,3.0,1.0,0.8332256289977522,B3,u
2.0,0.0,2.0,1.0,0.6527680159997544,B2,u
2.0,0.0,2.0,1.0,0.6601307400014775,B2,u
2.0,0.0,2.0,1.0,1.0704418429995712,B2,u
2.0,0.0,2.0,1.0,0.7746092460001819,B2,u
2.0,0.0,3.0,1.0,0.6175602090006578,B3,u
2.0,0.0,2.0,1.0,3.7020164390014543,B2,u
2.0,0.0,3.0,1.0,0.528375842000969,B3,u
2.0,0.0,2.0,1.0,0.830644816000131,B2,u
2.0,0.0,2.0,1.0,0.7140386350001791,B2,u
2.0,0.0,2.0,1.0,0.7958054199989419,B2,u
2.0,0.0,3.0,1.0,0.7438510969986964,B3,u
2.0,0.0,2.0,1.0,0.6421182350022718,B2,u
2.0,0.0,3.0,1.0,0.6631039540006896,B3,u
2.0,0.0,3.0,1.0,0.6433000040015031,B3,u
2.0,0.0,2.0,1.0,0.8682590059979702,B2,u
2.0,0.0,3.0,1.0,0.8484412239995436,B3,u
2.0,0.0,3.0,1.0,0.6975829740003974,B3,u
2.0,0.0,2.0,1.0,0.47848901900215424,B2,u
2.0,0.0,3.0,1.0,0.4361701689995243,B3,u
2.0,0.0,2.0,1.0,1.5909930019988678,B2,u
2.0,0.0,2.0,1.0,0.48900542499904986,B2,u
2.0,0.0,2.0,1.0,0.45649711299847695,B2,u
2.0,0.0,2.0,1.0,0.581787531998998,B2,u
2.0,0.0,3.0,1.0,0.4432385609979974,B3,u
2.0,0.0,2.0,1.0,0.4102890430003754,B2,u
2.0,0.0,2.0,1.0,1.1605784589992254,B2,u
2.0,0.0,2.0,0.0,1.298719987997174,B2,u
2.0,0.0,3.0,1.0,1.1716213979998429,B3,u
2.0,0.0,2.0,1.0,0.9754363549982372,B2,u
2.0,0.0,2.0,0.0,1.2932594749981945,B2,u
2.0,0.0,3.0,1.0,1.1545665490011743,B3,u
3.0,0.0,2.0,1.0,1.6319305399993027,B2,u
3.0,0.0,2.0,1.0,0.8575147970004764,B2,u
3.0,0.0,2.0,1.0,0.619272200998239,B2,u
3.0,0.0,3.0,1.0,0.6094939399990835,B3,u
3.0,0.0,2.0,1.0,0.5121313149975322,B2,u
3.0,0.0,2.0,1.0,0.7700487890033401,B2,u
3.0,0.0,3.0,1.0,0.7330720280006062,B3,u
